ردیف	کد کالا	شرح	برند 	شاخه 	تولید کننده	درصد تخفیف	روش پرداخت	قیمت 
211	2003497	فريم سوپر وسط  110-90(5120) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	4,795,000
212	2003500	سبد جاظرفي 3 طبقه  مدل G (2207) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	2,200,000
213	2003509	 فايل دراور اتاق خواب 3 کشو پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	
214	2003539	سبد جاظرفي 1.5 طبقه (2209) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	2,870,000
215	2003550	غش گير سيني پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	
216	2003557	جابشقابي آويز پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	
217	2003581	رگال جالباسي آويز (9271) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	2,810,000
218	2003582	رگال جا کرواتي (9281) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	2,810,000
219	2003659	جاقاشقي  پارس(2721) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	397,000
220	2003681	کشويي جا البسه بافت و جا شلواري سايز 90 9292 پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	7,660,000
221	2003727	سبد پنل حمام آريا (7321) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	2,420,000
222	2003728	جاقاشقي  پارسا (2741) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	397,000
223	2003746	جاظرفي 1.5 طبقه پاتريس (2211) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	2,540,000
224	2003747	پنل حمام آرتا (7322) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	1,870,000
225	2003776	جاقاشقي  رويال 2731 پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	495,000
226	2003809	جاظرفي يک طبقه 2210 پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	2,090,000
227	2003821	جاقاشقي اسکاچي رويال (2732) پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	573,000
228	2003824	کنج حمام سه طبقه پاراميس7123 پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	930,000
229	2003897	سبد تک يخچالي يونيت 45 پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	
230	2003898	سبد تک يخچالي يونيت 55 پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	
231	2003951	جاظرفي يک طبقه پرنسس پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	
232	2003975	کنج حمام دو طبقه پاراميس 7124 پلاتين(آويز) 	پلاتین	سبد	پلاتین	20%	20روز	
233	2003978	سبد تک يونيت 25(5023) پلاتين 	پلاتین	سبد	پلاتین	20%	20روز	
